lat,lon,sum_fpp
-66,78,0.843047725
-66,84,1.00131003
-66,96,0
-66,114,0.006556594
-66,120,0.232759077
-66,138,0.081347506
-66,150,0
-66,156,0.386534071
-66,162,5.38124042
-66,168,0
-66,174,0.020050978
-64,-168,0.008360928
-64,-150,0.040483154
-64,-144,0.036758312
-64,-108,0
-64,-102,0
-64,-96,0
-64,-90,0
-64,-84,0
-64,-78,0
-64,-72,0.272959298
-64,-66,1.885059544
-64,-60,4.806889381
-64,-54,4.786298929
-64,-48,15.97288242
-64,-42,2.004538753
-64,-36,0.032300119
-64,-30,0
-64,-24,0.308704472
-64,-18,0.34646261
-64,-6,1.596911765
-64,0,21.1128231
-64,6,0.077707071
-64,12,0.009631585
-64,18,0
-64,24,0.036457711
-64,30,0.00701403
-64,36,4.841876725
-64,42,6.286744131
-64,48,0.456998393
-64,54,0.682827847
-64,60,0.16336441
-64,66,0.142502445
-64,72,0.590230531
-64,78,0.117723462
-64,84,1.241697451
-64,90,3.133652655
-64,96,1.079156874
-64,102,1.011381807
-64,108,1.137683367
-64,114,0.444420153
-64,120,0.112898605
-64,126,0.028754315
-64,132,4.657217124
-64,138,0.085532651
-64,144,0.209890868
-64,150,0.511373648
-64,156,0.036467876
-64,162,0.178908603
-64,168,0
-64,174,0
-62,-174,0
-62,-168,0.006099157
-62,-108,0
-62,-96,0
-62,-90,0
-62,-78,0
-62,-66,0.203161223
-62,-60,1.758709919
-62,-54,4.428773078
-62,-48,6.462776473
-62,-42,24.32264497
-62,-36,4.650454684
-62,-30,1.930230691
-62,-24,2.539800375
-62,-18,26.39755147
-62,-12,5.917241956
-62,-6,0.09773899
-62,0,1.004134702
-62,12,0.641860028
-62,18,0
-62,30,0
-62,36,0.54389232
-62,42,0.277206683
-62,48,0.021148827
-62,54,0.149820072
-62,60,0.018434702
-62,66,0.000457437
-62,72,6.278316494
-62,78,0.130430471
-62,84,0
-62,90,0.274873755
-62,96,0.004040691
-62,102,2.104853417
-62,108,0.041398028
-62,126,0
-62,132,0
-62,138,0
-62,144,0.143444547
-62,150,0.851594787
-60,-174,0
-60,-168,0
-60,-162,0.051995313
-60,-156,0.162428173
-60,-150,0
-60,-96,0
-60,-78,0
-60,-72,0.404869661
-60,-66,0.854195898
-60,-60,1.042415218
-60,-54,2.199523398
-60,-48,2.648433233
-60,-42,2.547733022
-60,-36,4.232839808
-60,-30,21.6413463
-60,-24,6.139230575
-60,-18,6.320981095
-60,-12,26.38207487
-60,-6,2.956871282
-60,0,2.927176012
-60,6,1.044060378
-60,12,0.528072631
-60,18,0
-60,36,0.005069924
-60,48,0.059597476
-60,54,0
-60,60,0.172541631
-60,66,0.079696921
-60,72,3.848355358
-60,78,0
-60,84,0.135510197
-60,90,0.016721855
-60,96,0.012198314
-60,102,0
-60,114,0
-60,126,0
-60,132,0
-60,150,7.318549945
-60,156,0
-60,162,0
-60,174,0
-58,-54,0.212947708
-58,-48,1.201529151
-58,-42,1.37512391
-58,-36,29.93953648
-58,-30,0.308407682
-58,-24,1.50951847
-58,-18,2.564161815
-58,-6,0.110852177
-58,0,0.802572813
-58,6,0
-58,18,11.7273446
-58,42,0.051842834
-58,48,0
-58,54,0.212326901
-58,60,0.128971756
-58,66,0
-58,72,0.003850093
-58,78,0
-58,84,0.005298643
-58,90,0.019631661
-58,96,0
-58,114,0
-58,144,0
-58,150,0
-56,-150,0.141309842
-56,-48,0.12802263
-56,-42,12.136494
-56,-36,3.845271358
-56,-30,20.75306351
-56,-24,15.33508337
-56,-18,0.148876609
-56,-12,0
-56,0,3.03509297
-56,6,0.681411366
-56,18,0.007234278
-56,30,0.061391827
-56,36,0.085254778
-56,42,0
-56,48,0.005088984
-56,54,0.064574824
-56,60,0
-56,72,0
-56,78,0.24781637
-56,84,0
-56,90,0.005108044
-56,96,0.004421889
-56,114,0
-56,126,0
-54,-48,0.087302655
-54,-42,3.699718364
-54,-36,15.07636744
-54,-30,1.850648422
-54,-24,0
-54,0,1.776150739
-54,6,0
-54,18,0.491332835
-54,30,0.012427032
-54,36,0
-54,48,0
-54,78,0
-54,96,0
-52,-48,0.005146164
-52,-42,0.025926568
-52,-36,2.26261429
-52,-30,0.432026158
-52,-24,1.910243246
-52,-12,0
-52,-6,0
-52,0,1.186709576
-52,6,0.006334229
-52,12,4.36E-05
-52,18,0
-52,24,0
-52,30,0
-52,42,0
-52,66,0
-52,72,0
-52,78,0
-52,84,0
-52,90,0
-50,-48,0
-50,-42,0.072894455
-50,0,0
-50,12,0
-50,30,0
-50,66,0
-50,78,0
-48,66,0
-48,72,0
